Word,version,correct,cee,Consistency,Frequency
are,1,100,0.001040176,EX,H
beam,1,100,0.001858996,RC,L
best,1,100,0.001208707,RC,H
big,1,100,0.001067153,RC,H
both,1,100,0.001224383,EX,H
bowl,1,100,0.001257532,EX,L
break,1,100,0.001605499,EX,H
broad,1,100,0.001313022,EX,L
broke,1,100,0.001198776,RC,L
bus,1,100,0.001104728,RC,L
bush,1,100,0.001205191,EX,L
came,1,100,0.001077556,RC,H
choose,1,100,0.004287132,EX,H
class,1,100,0.001228542,RC,H
come,1,100,0.001523384,EX,H
dark,1,100,0.001238097,RC,H
deaf,1,100,0.001104126,EX,L
deed,1,100,0.001128966,RC,L
did,1,100,0.001109742,RC,H
do,1,100,0.00242794,EX,H
does,1,100,0.001165583,EX,H
doll,1,100,0.001306282,EX,L
done,1,100,0.001099011,EX,H
dots,1,100,0.001656492,RC,L
fact,1,100,0.001300078,RC,H
fade,1,100,0.001003424,RC,L
float,1,100,0.00124772,RC,L
flood,1,100,0.001352478,EX,L
foot,1,100,0.003017045,EX,H
give,1,100,0.001500742,EX,H
got,1,100,0.001220559,RC,H
grape,1,100,0.002290375,RC,L
great,1,0,14.62141,EX,H
gross,1,100,0.001393166,EX,L
group,1,100,0.00126721,RC,H
have,1,100,0.0012858,EX,H
him,1,100,0.001019062,RC,H
lose,1,100,0.001229273,EX,L
lunch,1,100,0.001241939,RC,L
main,1,100,0.001096597,RC,H
move,1,100,0.00278294,EX,H
out,1,100,0.001173123,RC,H
page,1,100,0.003645584,RC,H
pear,1,100,0.001628963,EX,L
peel,1,100,0.001020371,RC,L
phase,1,100,0.001233868,EX,L
pint,1,100,0.001259977,EX,L
pitch,1,100,0.001043123,RC,L
place,1,100,0.001370447,RC,H
plow,1,100,0.001107256,EX,L
pull,1,100,0.00105263,EX,H
pump,1,100,0.001240261,RC,L
put,1,100,0.001634329,EX,H
ripe,1,100,0.001035292,RC,L
rouse,1,100,0.001349151,EX,L
said,1,100,0.001235444,EX,H
sank,1,100,0.00129629,RC,L
says,1,100,0.001730825,EX,H
see,1,100,0.00116869,RC,H
sew,1,100,0.001721857,EX,L
shall,1,100,0.001297639,EX,H
shoe,1,100,0.001172469,EX,L
slam,1,100,0.001351851,RC,L
slip,1,100,0.00134909,RC,L
soon,1,100,0.00115651,RC,H
spook,1,100,0.001245235,EX,L
stop,1,100,0.001263811,RC,H
stunt,1,100,0.001667382,RC,L
swamp,1,100,0.001803994,EX,L
swarm,1,100,0.001418956,EX,L
swore,1,100,0.001195831,RC,L
tell,1,100,0.001545227,RC,H
touch,1,100,0.001444242,EX,L
trunk,1,100,0.001545802,RC,L
wad,1,100,0.001036623,EX,L
wake,1,100,0.001071288,RC,L
wand,1,100,0.001167734,EX,L
want,1,100,0.001388571,EX,H
wash,1,100,0.001445871,EX,L
watch,1,100,0.001170189,EX,H
wax,1,100,0.001462398,RC,L
week,1,100,0.001000757,RC,H
weld,1,100,0.001107695,RC,L
were,1,100,0.001100885,EX,H
what,1,100,0.001323509,EX,H
when,1,100,0.001024399,RC,H
which,1,100,0.001168718,RC,H
will,1,100,0.001014814,RC,H
wing,1,100,0.001093948,RC,L
wit,1,100,0.000977886,RC,L
with,1,100,0.00110804,RC,H
wool,1,100,0.001039365,EX,L
word,1,100,0.001136039,EX,H
work,1,100,0.001215408,EX,H
worm,1,100,0.002759386,EX,L
write,1,100,0.001237162,RC,H
