nonword,version,correct,cee
beed,1,100,0.0011
beld,1,100,0.0021
bink,1,100,0.0012
bleam,1,100,0.0013
bort,1,100,0.0012
brobe,1,100,0.0014
cath,1,100,0.0014
cobe,1,100,0.1821
dold,1,100,0.002
doon,1,100,0.0012
dore,1,100,0.0011
dreed,1,100,0.0014
feal,1,100,0.0024
gode,1,100,0.0013
grool,1,100,0.0014
hean,1,0,10.2101
heef,1,100,0.3826
hode,1,100,0.0014
hoil,1,100,3.4474
lail,1,100,0.0012
lole,1,100,0.002
meak,1,100,0.0011
moop,1,100,0.0018
mune,1,100,0.0065
nust,1,100,0.2163
peet,1,100,0.0011
pilt,1,100,0.0035
plore,1,0,9.4517
pode,1,100,0.0051
pold,1,100,0.0157
prain,1,100,0.0012
sheed,1,100,0.0022
soad,1,100,0.0016
speet,1,100,0.0013
steet,1,100,0.0012
suff,1,100,0.0079
sust,1,100,0.0015
sweal,1,100,0.0016
taze,1,100,0.0136
weat,1,100,0.0033
wosh,1,100,0.0084
wote,1,100,0.0011
wuff,1,100,0.0984
beed,2,100,0.0016
beld,2,100,0.087
bink,2,100,0.0016
bleam,2,100,0.0388
bort,2,100,0.0013
brobe,2,100,0.0016
cath,2,100,0.27
cobe,2,100,0.0116
dold,2,100,0.0925
doon,2,100,0.0699
dore,2,100,0.0012
dreed,2,100,0.0016
feal,2,100,0.0011
gode,2,100,0.0012
grool,2,100,0.0014
hean,2,100,0.0594
heef,2,100,0.0013
hode,2,100,0.0013
hoil,2,100,5.7345
lail,2,100,0.0012
lole,2,100,0.0012
meak,2,100,0.0015
moop,2,100,0.0056
mune,2,100,1.7946
nust,2,100,0.0015
peet,2,100,0.0035
pilt,2,100,0.0015
plore,2,100,0.0042
pode,2,100,0.0013
pold,2,100,0.0013
prain,2,100,0.0613
sheed,2,100,0.0098
soad,2,100,0.0021
speet,2,100,0.0012
steet,2,100,0.0014
suff,2,100,0.0013
sust,2,0,0.5772
sweal,2,100,0.0014
taze,2,100,0.0027
weat,2,100,0.0015
wosh,2,100,1.1564
wote,2,100,0.0017
wuff,2,100,0.002
beed,3,100,0.0011
beld,3,100,0.0013
bink,3,100,0.0013
bleam,3,100,0.0149
bort,3,100,0.0014
brobe,3,100,0.0017
cath,3,100,0.0031
cobe,3,100,0.0019
dold,3,0,1.8932
doon,3,100,0.0132
dore,3,100,0.0013
dreed,3,100,0.0015
feal,3,100,0.0011
gode,3,100,0.0245
grool,3,100,0.0344
hean,3,100,0.0013
heef,3,100,0.0906
hode,3,100,0.0138
hoil,3,100,0.0166
lail,3,100,0.0013
lole,3,100,0.0336
meak,3,100,0.0012
moop,3,100,0.0019
mune,3,100,0.0014
nust,3,100,0.0015
peet,3,100,0.0031
pilt,3,100,0.0012
plore,3,100,0.2555
pode,3,100,0.0131
pold,3,100,0.0019
prain,3,100,0.0013
sheed,3,100,0.0017
soad,3,100,0.0139
speet,3,100,0.0012
steet,3,100,0.0013
suff,3,100,0.0012
sust,3,100,0.0138
sweal,3,100,0.1864
taze,3,100,0.0011
weat,3,100,0.0022
wosh,3,100,0.0013
wote,3,100,0.002
wuff,3,100,3.8595
beed,4,100,0.001
beld,4,100,0.0013
bink,4,100,0.0015
bleam,4,100,0.0194
bort,4,0,9.7906
brobe,4,100,0.0278
cath,4,100,0.0102
cobe,4,100,0.056
dold,4,100,0.1366
doon,4,100,0.0014
dore,4,100,0.0012
dreed,4,0,3.7512
feal,4,100,0.001
gode,4,100,0.0073
grool,4,100,0.0014
hean,4,100,0.0354
heef,4,100,0.0021
hode,4,100,0.0012
hoil,4,100,0.0198
lail,4,100,0.0016
lole,4,100,3.0531
meak,4,100,0.0011
moop,4,100,0.0016
mune,4,100,0.2459
nust,4,100,0.0014
peet,4,100,0.0014
pilt,4,100,0.0012
plore,4,100,0.0013
pode,4,100,0.8927
pold,4,100,0.0144
prain,4,100,0.0013
sheed,4,100,0.0011
soad,4,100,0.0018
speet,4,100,0.0011
steet,4,100,0.0035
suff,4,100,0.005
sust,4,0,1.1816
sweal,4,100,0.9426
taze,4,100,0.0011
weat,4,100,0.0012
wosh,4,100,4.4151
wote,4,100,0.0176
wuff,4,100,0.0011
beed,5,100,0.0016
beld,5,100,0.0016
bink,5,100,0.0013
bleam,5,100,0.0015
bort,5,100,0.0036
brobe,5,100,0.0013
cath,5,100,0.0826
cobe,5,100,0.0025
dold,5,100,0.0046
doon,5,100,0.0017
dore,5,100,0.0013
dreed,5,100,0.0033
feal,5,100,0.0014
gode,5,100,0.0016
grool,5,100,0.0054
hean,5,100,0.0046
heef,5,100,0.0627
hode,5,100,0.0316
hoil,5,0,7.7161
lail,5,100,0.0318
lole,5,100,0.0786
meak,5,100,0.0015
moop,5,100,5.605
mune,5,100,0.7659
nust,5,0,4.1855
peet,5,100,0.0013
pilt,5,100,0.0016
plore,5,100,0.0018
pode,5,100,0.0015
pold,5,100,0.0013
prain,5,100,0.002
sheed,5,100,0.0038
soad,5,100,0.0067
speet,5,100,0.0014
steet,5,100,0.002
suff,5,100,0.0378
sust,5,100,0.002
sweal,5,100,0.03
taze,5,0,2.5349
weat,5,100,0.0019
wosh,5,100,3.3303
wote,5,100,0.002
wuff,5,0,2.3308
beed,6,100,0.002
beld,6,100,0.0025
bink,6,100,0.0131
bleam,6,100,0.0364
bort,6,100,0.0042
brobe,6,0,3.5793
cath,6,100,0.0942
cobe,6,100,0.0183
dold,6,100,0.1658
doon,6,100,0.009
dore,6,100,0.0604
dreed,6,100,0.0036
feal,6,100,0.0023
gode,6,100,0.055
grool,6,100,0.0714
hean,6,100,0.8111
heef,6,100,0.1336
hode,6,100,0.0456
hoil,6,100,2.1016
lail,6,100,0.0202
lole,6,100,0.007
meak,6,100,0.0199
moop,6,100,0.0254
mune,6,0,12.2733
nust,6,100,0.3914
peet,6,100,0.0283
pilt,6,100,0.0055
plore,6,100,0.0068
pode,6,100,0.0259
pold,6,100,0.0041
prain,6,100,0.0017
sheed,6,100,0.0075
soad,6,100,0.0219
speet,6,100,0.5137
steet,6,0,2.3575
suff,6,100,0.3232
sust,6,100,0.0144
sweal,6,100,0.7514
taze,6,100,0.0215
weat,6,100,0.0444
wosh,6,0,17.7894
wote,6,0,12.2044
wuff,6,100,0.015
beed,7,100,0.0011
beld,7,100,0.0015
bink,7,100,0.0013
bleam,7,100,0.0022
bort,7,100,0.0014
brobe,7,100,0.0031
cath,7,100,0.2783
cobe,7,100,0.0013
dold,7,0,0.93
doon,7,100,0.0017
dore,7,100,0.0028
dreed,7,100,0.0013
feal,7,100,0.0011
gode,7,100,0.0011
grool,7,100,0.017
hean,7,100,0.0013
heef,7,0,5.6839
hode,7,100,0.0011
hoil,7,0,3.2764
lail,7,100,0.0011
lole,7,100,3.0321
meak,7,100,0.001
moop,7,100,0.0014
mune,7,0,16.6412
nust,7,100,0.0257
peet,7,100,0.0012
pilt,7,100,0.006
