item	word	wl	OrthN	phonetic
1	ace	3	12	As
2	ache	4	4	Ak
3	act	3	9	@kt
4	add	3	8	@d
5	ade	3	12	Ad
6	aft	3	9	@ft
7	age	3	11	Aj
8	aid	3	15	Ad
9	aide	4	10	Ad
10	ail	3	11	Al
11	aim	3	11	Am
12	air	3	9	Ar
13	aisle	5	6	Il
14	ale	3	14	Al
15	all	3	8	ol
16	alps	4	5	@lps
17	and	3	9	@nd
18	angst	5	5	@Nst
19	ant	3	10	@nt
20	ape	3	13	Ap
21	apt	3	10	@pt
22	arc	3	8	ark
23	arch	4	5	arC
24	are	3	17	ar
25	arm	3	9	arm
26	art	3	12	art
27	ash	3	7	@S
28	ask	3	7	@sk
29	ass	3	7	@s
30	ate	3	12	At
31	aunt	4	9	@nt
32	awn	3	6	on
33	axe	3	12	@ks
34	babe	4	12	bAb
35	back	4	18	b@k
36	bad	3	23	b@d
37	bade	4	17	bAd
38	badge	5	7	b@j
39	bag	3	23	b@g
40	bail	4	19	bAl
41	bait	4	8	bAt
42	bake	4	21	bAk
43	bakes	5	6	bAks
44	bald	4	11	bold
45	bale	4	25	bAl
46	balk	4	15	bok
47	ball	4	20	bol
48	ban	3	24	b@n
49	band	4	17	b@nd
50	bane	4	23	bAn
51	bang	4	19	b@N
52	bank	4	19	b@Nk
53	bar	3	22	bar
54	bard	4	16	bard
55	bare	4	24	bAr
56	barge	5	8	barj
57	bark	4	17	bark
58	barn	4	14	barn
59	barre	5	6	bar
60	bas	3	16	ba
61	base	4	17	bAs
62	bash	4	18	b@S
63	bask	4	14	b@sk
64	baste	5	10	bAst
65	bat	3	23	b@t
66	batch	5	12	b@C
67	bate	4	22	bAt
68	bath	4	13	b@T
69	bathe	5	6	bAD
70	bay	3	25	bA
71	beach	5	12	bEC
72	bead	4	16	bEd
73	beak	4	17	bEk
74	beam	4	14	bEm
75	bean	4	18	bEn
76	bear	4	24	bAr
77	beard	5	7	bErd
78	beast	5	10	bEst
79	beat	4	23	bEt
80	beau	4	11	bO
81	beck	4	13	bek
82	bed	3	15	bed
83	bee	3	16	bE
84	beech	5	8	bEC
85	beef	4	11	bEf
86	beek	4	18	bEk
87	been	4	14	bin
88	beep	4	16	bEp
89	beer	4	16	bEr
90	beet	4	16	bEt
91	beg	3	20	beg
92	beige	5	5	bAZ
93	belch	5	9	belC
94	bell	4	18	bel
95	belle	5	5	bel
96	belt	4	15	belt
97	bench	5	9	benC
98	bend	4	17	bend
99	bent	4	20	bent
100	berth	5	6	burT
101	best	4	19	best
102	bet	3	21	bet
103	bib	3	11	bib
104	bid	3	18	bid
105	bide	4	15	bId
106	big	3	21	big
107	bike	4	14	bIk
108	bile	4	16	bIl
109	bilge	5	7	bilj
110	bill	4	19	bil
111	bin	3	20	bin
112	bind	4	15	bInd
113	bing	4	13	biN
114	binge	5	7	binj
115	birch	5	7	burC
116	bird	4	8	burd
117	birth	5	9	burT
118	bit	3	22	bit
119	bitch	5	11	biC
120	bite	4	14	bIt
121	black	5	9	bl@k
122	blade	5	9	blAd
123	blame	5	9	blAm
124	blanch	6	7	bl@nC
125	bland	5	12	bl@nd
126	blank	5	11	bl@Nk
127	blare	5	11	blAr
128	blast	5	9	bl@st
129	blaze	5	10	blAz
130	bleach	6	7	blEC
131	bleak	5	8	blEk
132	bleat	5	11	blEt
133	bled	4	10	bled
134	bleed	5	9	blEd
135	bleep	5	8	blEp
136	blend	5	10	blend
137	bless	5	8	bles
