simulation,lesion,RCH,RCL,EXH,EXL,HIMG,LIMG
1,6,100,100,100,87.5,97.14,97.14
2,6,100,100,100,87.5,97.14,100
3,6,100,100,100,87.5,97.14,100
4,6,100,100,95.83,100,97.14,100
5,6,100,100,91.67,100,100,100
6,6,100,100,100,79.17,94.29,100
7,6,100,95.83,91.67,83.33,97.14,97.14
8,6,100,95.83,100,100,100,97.14
9,6,100,95.83,100,83.33,94.29,97.14
10,6,100,100,95.83,91.67,100,97.14
11,6,100,100,100,83.33,97.14,100
12,6,100,100,100,100,97.14,97.14
13,6,100,100,95.83,83.33,97.14,97.14
14,6,100,100,95.83,91.67,100,97.14
15,6,100,100,100,100,100,94.29
16,6,100,100,100,100,100,100
17,6,100,100,91.67,70.83,94.29,100
18,6,100,100,100,95.83,97.14,100
19,6,100,100,100,100,97.14,100
20,6,100,95.83,100,87.5,100,100
1,7,100,100,91.67,91.67,97.14,100
2,7,100,100,100,83.33,97.14,97.14
3,7,100,91.67,100,87.5,94.29,94.29
4,7,100,95.83,95.83,95.83,100,97.14
5,7,100,100,91.67,95.83,97.14,97.14
6,7,100,95.83,95.83,87.5,94.29,100
7,7,100,100,91.67,87.5,97.14,100
8,7,100,100,95.83,100,100,100
9,7,100,95.83,100,79.17,97.14,94.29
10,7,100,100,95.83,83.33,100,100
11,7,100,100,91.67,87.5,100,100
12,7,100,100,95.83,100,97.14,97.14
13,7,100,100,100,79.17,97.14,100
14,7,100,100,100,100,97.14,100
15,7,100,100,100,100,100,100
16,7,100,100,95.83,95.83,97.14,100
17,7,100,100,91.67,79.17,94.29,97.14
18,7,100,100,91.67,95.83,100,100
19,7,100,100,100,95.83,100,100
20,7,100,100,95.83,87.5,100,100
1,8,100,95.83,100,95.83,100,97.14
2,8,100,95.83,100,91.67,94.29,97.14
3,8,95.83,100,100,83.33,91.43,100
4,8,100,100,95.83,100,100,97.14
5,8,100,100,95.83,100,97.14,100
6,8,95.83,100,95.83,83.33,97.14,97.14
7,8,100,91.67,91.67,83.33,97.14,97.14
8,8,100,100,100,100,97.14,100
9,8,100,91.67,100,87.5,97.14,94.29
10,8,100,100,95.83,91.67,97.14,100
11,8,100,100,100,87.5,97.14,100
12,8,100,100,100,95.83,97.14,100
13,8,100,100,95.83,87.5,100,94.29
14,8,100,100,100,100,100,100
15,8,100,100,100,100,100,100
16,8,100,100,100,100,100,100
17,8,100,95.83,87.5,75,94.29,97.14
18,8,100,100,100,91.67,100,100
19,8,100,100,100,100,100,100
20,8,100,95.83,91.67,95.83,100,100
1,9,100,95.83,100,100,100,97.14
2,9,100,100,95.83,87.5,97.14,97.14
3,9,100,100,100,91.67,94.29,97.14
4,9,100,100,95.83,95.83,100,100
5,9,100,100,100,100,100,100
6,9,100,100,95.83,91.67,97.14,100
7,9,100,100,91.67,83.33,100,97.14
8,9,100,95.83,100,95.83,100,100
9,9,100,100,83.33,83.33,97.14,97.14
10,9,100,100,95.83,91.67,97.14,97.14
11,9,100,100,95.83,91.67,100,100
12,9,100,100,100,95.83,97.14,97.14
13,9,100,100,100,91.67,100,97.14
14,9,100,100,95.83,95.83,100,100
15,9,100,100,100,100,100,97.14
16,9,100,100,100,100,100,100
17,9,100,100,87.5,79.17,91.43,97.14
18,9,100,100,95.83,95.83,100,100
19,9,100,100,100,100,100,100
20,9,100,100,91.67,83.33,100,100
1,10,100,100,100,75,100,100
2,10,100,100,100,95.83,97.14,100
3,10,100,100,95.83,95.83,97.14,100
4,10,100,100,91.67,100,100,100
5,10,100,100,100,100,100,100
6,10,100,100,95.83,79.17,100,97.14
7,10,100,91.67,91.67,83.33,97.14,100
8,10,100,100,95.83,95.83,100,97.14
9,10,100,100,91.67,87.5,97.14,100
10,10,100,100,100,91.67,100,100
11,10,100,100,100,87.5,100,100
12,10,100,100,95.83,91.67,100,100
13,10,100,100,95.83,79.17,100,94.29
14,10,100,100,100,87.5,97.14,100
15,10,100,100,100,100,97.14,97.14
16,10,100,100,100,100,100,100
17,10,100,100,95.83,87.5,91.43,94.29
18,10,100,100,100,95.83,100,100
19,10,100,100,100,100,97.14,100
20,10,100,100,95.83,91.67,97.14,100
