simulation,lesion,RCH,RCL,EXH,EXL,HIMG,LIMG
1,6,95.83,100,100,79.17,91.43,94.29
2,6,100,100,100,91.67,88.57,91.43
3,6,95.83,100,100,79.17,94.29,88.57
4,6,95.83,100,100,87.5,94.29,97.14
5,6,100,95.83,100,83.33,94.29,97.14
6,6,100,79.17,100,95.83,97.14,97.14
7,6,100,100,100,79.17,94.29,94.29
8,6,100,100,91.67,87.5,100,94.29
9,6,100,95.83,100,95.83,91.43,91.43
10,6,100,91.67,95.83,79.17,94.29,97.14
11,6,100,91.67,95.83,87.5,97.14,97.14
12,6,100,95.83,95.83,66.67,91.43,94.29
13,6,100,87.5,83.33,70.83,94.29,91.43
14,6,100,95.83,100,91.67,91.43,94.29
15,6,100,95.83,100,87.5,100,97.14
16,6,100,95.83,100,87.5,94.29,100
17,6,100,95.83,100,66.67,97.14,91.43
18,6,95.83,100,95.83,66.67,97.14,97.14
19,6,95.83,91.67,100,70.83,85.71,91.43
20,6,100,95.83,95.83,79.17,94.29,94.29
1,7,100,95.83,100,91.67,97.14,94.29
2,7,100,87.5,100,83.33,88.57,82.86
3,7,100,100,100,83.33,91.43,91.43
4,7,100,95.83,100,83.33,91.43,97.14
5,7,100,100,100,87.5,94.29,94.29
6,7,100,87.5,100,79.17,100,97.14
7,7,100,100,100,79.17,94.29,91.43
8,7,100,95.83,91.67,83.33,100,97.14
9,7,100,100,100,91.67,94.29,97.14
10,7,95.83,87.5,95.83,83.33,88.57,94.29
11,7,100,91.67,100,91.67,94.29,91.43
12,7,100,83.33,95.83,70.83,94.29,91.43
13,7,100,95.83,95.83,83.33,85.71,82.86
14,7,100,100,100,100,100,97.14
15,7,100,87.5,100,87.5,100,100
16,7,100,100,100,70.83,91.43,100
17,7,100,95.83,100,62.5,91.43,97.14
18,7,100,95.83,91.67,87.5,94.29,97.14
19,7,100,91.67,100,91.67,94.29,94.29
20,7,100,91.67,95.83,70.83,100,94.29
1,8,100,100,100,87.5,94.29,91.43
2,8,100,95.83,100,75,85.71,94.29
3,8,95.83,83.33,100,87.5,100,100
4,8,100,100,100,87.5,97.14,97.14
5,8,95.83,95.83,100,95.83,97.14,97.14
6,8,100,91.67,100,83.33,94.29,94.29
7,8,100,100,95.83,87.5,94.29,97.14
8,8,100,87.5,95.83,75,100,91.43
9,8,100,95.83,100,100,97.14,97.14
10,8,100,95.83,95.83,66.67,97.14,94.29
11,8,100,91.67,100,87.5,94.29,100
12,8,100,95.83,95.83,75,94.29,97.14
13,8,100,87.5,100,70.83,85.71,91.43
14,8,100,100,100,87.5,97.14,91.43
15,8,100,91.67,100,83.33,97.14,97.14
16,8,100,95.83,95.83,75,94.29,94.29
17,8,100,95.83,100,70.83,97.14,91.43
18,8,100,91.67,95.83,87.5,97.14,94.29
19,8,100,87.5,95.83,83.33,94.29,97.14
20,8,100,91.67,95.83,91.67,97.14,97.14
1,9,100,100,100,87.5,97.14,85.71
2,9,100,95.83,95.83,79.17,91.43,85.71
3,9,100,95.83,100,83.33,94.29,97.14
4,9,100,100,100,83.33,97.14,91.43
5,9,95.83,100,100,91.67,97.14,97.14
6,9,100,87.5,100,83.33,97.14,94.29
7,9,100,100,100,79.17,97.14,97.14
8,9,100,95.83,95.83,79.17,100,97.14
9,9,100,100,100,95.83,94.29,94.29
10,9,100,79.17,100,70.83,97.14,91.43
11,9,100,91.67,95.83,87.5,100,100
12,9,100,91.67,100,79.17,97.14,97.14
13,9,95.83,79.17,95.83,87.5,77.14,85.71
14,9,100,100,100,95.83,97.14,100
15,9,100,100,100,79.17,97.14,100
16,9,100,95.83,100,87.5,85.71,100
17,9,100,95.83,100,62.5,97.14,97.14
18,9,100,100,95.83,75,97.14,91.43
19,9,100,95.83,91.67,83.33,91.43,88.57
20,9,100,100,95.83,83.33,91.43,100
1,10,100,100,100,91.67,82.86,91.43
2,10,100,87.5,100,83.33,91.43,91.43
3,10,100,87.5,100,91.67,94.29,77.14
4,10,100,91.67,100,87.5,97.14,97.14
5,10,100,95.83,95.83,87.5,94.29,94.29
6,10,100,100,100,87.5,91.43,97.14
7,10,100,100,100,83.33,91.43,97.14
8,10,100,91.67,91.67,87.5,97.14,97.14
9,10,100,95.83,100,91.67,97.14,97.14
10,10,100,95.83,100,79.17,91.43,97.14
11,10,100,87.5,95.83,91.67,97.14,100
12,10,95.83,100,100,79.17,91.43,91.43
13,10,100,95.83,95.83,75,91.43,88.57
14,10,100,87.5,100,91.67,94.29,97.14
15,10,95.83,95.83,100,87.5,100,94.29
16,10,100,91.67,100,91.67,97.14,94.29
17,10,100,100,95.83,62.5,94.29,94.29
18,10,100,91.67,95.83,87.5,97.14,91.43
19,10,100,91.67,95.83,79.17,94.29,88.57
20,10,100,100,95.83,87.5,94.29,91.43
