item version times error correct correct_dist
1 1 0 0.00000000960029635169379 1 1
2 1 0 0.0000000489442784781162 1 1
3 1 0 1.99957565310428 0 0
4 1 0 0.0000000108846582872622 1 1
5 1 0 0.0000000191541812579427 1 1
6 1 0 0.000000328522475540453 1 1
7 1 0 0.0000345746144468488 1 1
8 1 0 0.0000000372046175671546 1 1
9 1 0 0.000628390157508644 1 1
10 1 0 0.0000000161653891236947 1 1
11 1 0 1.99988456706539 0 0
12 1 0 0.0000000435958963522294 1 1
13 1 0 0.00000000865162074104234 1 1
14 1 0 0.00000211493826511439 1 1
15 1 0 0.0000000344470003594346 1 1
16 1 0 1.999910329287 0 0
17 1 0 0.0000309385218765883 1 1
18 1 0 0.0000000154749293203101 1 1
19 1 0 0.999994081316226 0 1
20 1 0 0.747402364953182 0 1
21 1 0 0.00000100292655632362 1 1
22 1 0 0.992344458317227 0 1
23 1 0 0.00000000897227136626049 1 1
24 1 0 0.00276098605858846 1 1
25 1 0 0.00000000730238138646384 1 1
26 1 0 0.000303670843157156 1 1
27 1 0 0.000806477310427778 1 1
28 1 0 0.972988477310428 0 0
29 1 0 0.000430746848453928 1 1
30 1 0 0.0000000230524827963801 1 1
31 1 0 0.0000000423169793741463 1 1
32 1 0 1.99988058119698 0 0
33 1 0 1.0061937599048 0 1
34 1 0 0.851661764809439 0 1
35 1 0 0.596638842877554 0 0
36 1 0 0.0000000215653764309655 1 1
37 1 0 0.0000212496239003089 1 1
38 1 0 0.000130768258181739 1 1
39 1 0 0.0000000106431858301791 1 1
40 1 0 0.0000000109793774861129 1 1
41 1 0 0.000000108248793867957 1 1
42 1 0 0.0000191157060831365 1 1
43 1 0 0.00000881487439506499 1 1
44 1 0 1.9935228088744 0 0
45 1 0 0.945882718440517 0 1
46 1 0 0.000000311193249404996 1 1
47 1 0 1.99887342959325 0 0
48 1 0 1.99689636553243 0 0
49 1 0 0.00000254613242780171 1 1
50 1 0 1.99692094441243 0 0
51 1 0 0.00000000909929637543807 1 1
52 1 0 0.00000221201410027693 1 1
1 2 0 0.0000000279252309809859 1 1
2 2 0 0.144008982138396 1 1
3 2 0 2.1438895369384 0 0
4 2 0 0.0000337472723783231 1 1
5 2 0 0.0000000553794415707922 1 1
6 2 0 0.0000000128002033834599 1 1
7 2 0 0.000000107951653970553 1 1
8 2 0 0.0317100694013484 1 1
9 2 0 0.00000392416838574757 1 1
10 2 0 0.236662987414048 1 1
11 2 0 1.26368796945405 0 0
12 2 0 0.628653405060387 0 1
13 2 0 0.0000000178000589387187 1 1
14 2 0 0.000000120238248578904 1 1
15 2 0 0.0000000415531061352781 1 1
16 2 0 1.99988020059311 0 0
17 2 0 0.0302326999387208 1 1
18 2 0 0.00000896067432960796 1 1
19 2 0 0.820091971539681 0 1
20 2 0 0.0000000868690198620148 1 1
21 2 0 0.0000135331194300804 1 1
22 2 0 0.0000439254458750202 1 1
23 2 0 0.00000000970280472172746 1 1
24 2 0 0.0000000120444161449705 1 1
25 2 0 0.000000407334633107125 1 1
26 2 0 0.015544282363483 1 1
27 2 0 1.87159766042293 0 0
28 2 0 0.877127940422934 0 1
29 2 0 0.0000000202533034205137 1 1
30 2 0 0.975151833865545 0 1
31 2 0 0.0000590602086172623 1 1
32 2 0 1.99994155934862 0 0
33 2 0 0.000000308239138133991 1 1
34 2 0 0.0000000213898557443152 1 1
35 2 0 0.0000000142920747881924 1 1
36 2 0 0.000419142161575951 1 1
37 2 0 0.000000160558266481119 1 1
38 2 0 0.190402216401523 1 1
39 2 0 0.0000000113530884636276 1 1
40 2 0 0.0000000124704150439341 1 1
41 2 0 0.0000000708139446915276 1 1
42 2 0 0.0128095613932135 1 1
43 2 0 0.00000190715291725378 1 1
44 2 0 1.99644866715292 0 0
45 2 0 0.00000485002713969037 1 1
46 2 0 0.000000112926497995054 1 1
47 2 0 1.9991810949265 0 0
48 2 0 2.57671482047994 0 0
49 2 0 0.623996134479945 0 1
50 2 0 0.997570134479944 0 0
51 2 0 0.0000144420216491077 1 1
52 2 0 0.00000796151553470069 1 1
1 3 0 0.00000000819390192157335 1 1
2 3 0 0.0000000132546238239097 1 1
3 3 0 1.99988657247462 0 0
4 3 0 0.0000000151306491372125 1 1
5 3 0 0.0000695871327357196 1 1
6 3 0 0.0000000144818222359416 1 1
7 3 0 0.0000000181156185081683 1 1
8 3 0 0.000000244376190947769 1 1
9 3 0 0.00000137366663693804 1 1
10 3 0 0.749977441575413 0 1
11 3 0 2.74386992477541 0 0
12 3 0 0.0519124542474657 1 1
13 3 0 0.000000165871287805737 1 1
14 3 0 0.0000252813384636409 1 1
15 3 0 0.000000292929723957137 1 1
16 3 0 1.99991434180972 0 0
17 3 0 0.988658239594578 0 1
18 3 0 0.191924038173208 1 1
19 3 0 0.00000273790536049302 1 1
20 3 0 0.795843304376289 0 1
21 3 0 0.00000340342909754127 1 1
22 3 0 0.000100432470860926 1 1
23 3 0 0.0000000113127136273066 1 1
24 3 0 0.0000864902840472495 1 1
25 3 0 0.00000000914285226712112 1 1
26 3 0 0.000000126519461857929 1 1
27 3 0 0.999968143540187 0 0
28 3 0 0.000000315340187564441 1 1
29 3 0 0.000825563302155725 1 1
30 3 0 0.000000990429151927917 1 1
31 3 0 0.0000000104673052527461 1 1
32 3 0 1.99988453948731 0 0
33 3 0 0.00930936433520462 1 1
34 3 0 0.00000166185163349479 1 1
35 3 0 0.0000000133632823078857 1 1
36 3 0 0.0000000567516463065957 1 1
37 3 0 0.0000454435242238919 1 1
38 3 0 0.0000000105847844420887 1 1
39 3 0 0.0000000276749581468488 1 1
40 3 0 0.00000000906191195928935 1 1
41 3 0 0.0000000102077151902217 1 1
42 3 0 0.000015469633260515 1 1
43 3 0 0.0000883957915461106 1 1
44 3 0 1.98055805579155 0 0
45 3 0 0.0000000250842039519777 1 1
46 3 0 1.71593617064821 0 0
